,no,ranking,bookname,authors,publisher,publication_year,isbn13,addition_symbol,vol,class_no,class_nm,bookImageURL,bookDtlUrl,loan_count
0,1,1,소년이 온다 :한강 장편소설 ,지은이: 한강,창비,2014,9788936434120,03810,,813.62,문학 > 한국문학 > 소설,http://image.aladin.co.kr/product/4086/97/cover/8936434128_2.jpg,https://data4library.kr/bookV?seq=2037399,6448
1,2,2,모순 :양귀자 장편소설 ,지은이: 양귀자,쓰다,2013,9788998441012,03810,,813.62,문학 > 한국문학 > 소설,https://bookthumb-phinf.pstatic.net/cover/071/902/07190270.jpg?type=m1&udate=20170801,https://data4library.kr/bookV?seq=1938053,5637
2,3,3,작별하지 않는다 :한강 장편소설 ,지은이: 한강,문학동네,2021,9788954682152,03810,,813.62,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/27877/5/cover/8954682154_1.jpg,https://data4library.kr/bookV?seq=6086446,5326
3,4,4,홍학의 자리 :정해연 장편소설 ,지은이: 정해연,문학동네,2021,9788954681155,03810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/27587/94/cover/8954681158_1.jpg,https://data4library.kr/bookV?seq=6050062,4993
4,5,5,나는 소망한다 내게 금지된 것을 :양귀자 장편소설 ,지은이: 양귀자,쓰다,2019,9788998441074,03810,,813.62,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/18936/52/cover/8998441071_1.jpg,https://data4library.kr/bookV?seq=5395822,4931
5,6,6,"물고기는 존재하지 않는다 :상실, 사랑 그리고 숨어 있는 삶의 질서에 관한 이야기 ",룰루 밀러 지음 ;정지인 옮김,곰출판,2021,9791189327156,03400,,490.99,자연과학 > 동물학 > 동물학,https://image.aladin.co.kr/product/28465/73/cover/k092835920_1.jpg,https://data4library.kr/bookV?seq=6360937,4483
6,7,7,지구 끝의 온실 :김초엽 장편소설 ,지은이: 김초엽,Giant Books(자이언트북스),2021,9791191824001,03810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/27692/63/cover/k082733434_1.jpg,https://data4library.kr/bookV?seq=6065686,4473
7,8,8,채식주의자 :한강 장편소설 ,지은이: 한강,창비,2022,9788936434595,03810,,813.62,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/29137/2/cover/8936434594_1.jpg,https://data4library.kr/bookV?seq=6428779,4034
8,9,9,급류 :정대건 장편소설 ,지은이: 정대건,민음사,2022,9788937473401,04810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/30769/24/cover/8937473402_1.jpg,https://data4library.kr/bookV?seq=6614564,3992
9,10,10,천 개의 파랑 :천선란 장편소설 ,지은이: 천선란,허블,2020,9791190090261,03810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/24895/69/cover/k882632470_2.jpg,https://data4library.kr/bookV?seq=5738747,3664
10,11,11,지구에서 한아뿐 :정세랑 장편소설 ,지은이: 정세랑,난다,2019,9791188862290,03810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/19804/82/cover/k072635131_1.jpg,https://data4library.kr/bookV?seq=5446546,3644
11,12,12,종의 기원 =정유정 장편소설 /The origin of species ,지은이: 정유정,은행나무,2016,9788956609959,03810,,813.7,문학 > 한국문학 > 소설,http://image.aladin.co.kr/product/7492/9/cover/8956609950_2.jpg,https://data4library.kr/bookV?seq=3151708,3586
12,13,13,"칵테일, 러브, 좀비 ",지은이: 조예은,안전가옥,2020,9791190174756,03810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/23736/85/cover/k692639764_1.jpg,https://data4library.kr/bookV?seq=5650149,3505
13,14,14,채식주의자:한강 연작소설,한강,창비,2007,9788936433598,03810,,813.6,문학 > 한국문학 > 소설,https://bookthumb-phinf.pstatic.net/cover/033/094/03309417.jpg?type=m1&udate=20180609,https://data4library.kr/bookV?seq=2155671,3464
14,15,15,바깥은 여름 :김애란 소설 ,지은이: 김애란,문학동네,2017,9788954646079,03810,,813.7,문학 > 한국문학 > 소설,http://image.aladin.co.kr/product/15533/81/cover/k852533629_1.jpg,https://data4library.kr/bookV?seq=3451595,3453
15,16,16,이끼숲 :천선란 연작소설 ,지은이: 천선란 ;일러스트: 점선면,자이언트북스,2023,9791191824216,03810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/31568/81/cover/k672832652_1.jpg,https://data4library.kr/bookV?seq=6682814,3327
16,17,17,우리가 빛의 속도로 갈 수 없다면 :김초엽 소설 ,지은이: 김초엽,허블,2019,9791190090018,03810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/19359/16/cover/s972635417_1.jpg,https://data4library.kr/bookV?seq=5430429,3203
17,18,18,밝은 밤 :최은영 장편소설 ,지은이: 최은영,문학동네,2021,9788954681179,03810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/27541/91/cover/8954681174_1.jpg,https://data4library.kr/bookV?seq=6045915,3043
18,19,19,트로피컬 나이트 =조예은 소설집 /Tropical night ,지은이: 조예은,한겨레엔,2022,9791160408331,03810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/29946/7/cover/k962838741_1.jpg,https://data4library.kr/bookV?seq=6541800,3040
19,20,20,단 한 사람 :최진영 장편소설 ,지은이: 최진영,한겨레엔,2023,9791160405750,03810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/32496/81/cover/k382935719_1.jpg,https://data4library.kr/bookV?seq=6764215,2928
20,21,21,귀신들의 땅 :천쓰홍 장편 소설 ,지은이: 천쓰홍 ;옮긴이: 김태성,민음사,2023,9788937454820,03820,,823.7,문학 > 중국문학 > 소설,https://image.aladin.co.kr/product/33119/32/cover/8937454823_1.jpg,https://data4library.kr/bookV?seq=6811808,2888
21,22,22,구의 증명 :최진영 소설 ,지은이: 최진영,은행나무,2015,9788956608556,03810,,813.7,문학 > 한국문학 > 소설,http://image.aladin.co.kr/product/5527/50/cover/8956608555_1.jpg,https://data4library.kr/bookV?seq=2619618,2865
22,23,23,파과 :구병모 장편소설 ,지은이: 구병모,위즈덤하우스 미디어그룹,2018,9791162203620,03810,,813.7,문학 > 한국문학 > 소설,http://image.aladin.co.kr/product/14224/40/cover/k872532537_1.jpg,https://data4library.kr/bookV?seq=3742540,2790
23,24,24,해가 지는 곳으로 :최진영 장편소설 ,지은이: 최진영,민음사,2017,9788937473166,04810,,813.7,문학 > 한국문학 > 소설,http://image.aladin.co.kr/product/11281/18/cover/893747316x_1.jpg,https://data4library.kr/bookV?seq=3468676,2759
24,25,25,돌이킬 수 있는 =문목하 장편소설 /Eversible ,지은이: 문목하,아작,2018,9791189015381,03810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/17531/63/cover/k062534304_1.jpg,https://data4library.kr/bookV?seq=5253241,2752
25,26,26,"시선으로부터, :정세랑 장편소설 ",지은이: 정세랑,문학동네,2020,9788954672214,03810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/24131/37/cover/8954672213_1.jpg,https://data4library.kr/bookV?seq=5674475,2750
26,27,27,불편한 편의점 :김호연 장편소설 ,지은이: 김호연,나무옆의자,2021,9791161571188,03810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/26942/84/cover/k582730818_1.jpg,https://data4library.kr/bookV?seq=5962217,2700
27,28,28,희랍어 시간 :한강 장편소설 ,지은이: 한강,문학동네,2011,9788954616515,03810,,813.62,문학 > 한국문학 > 소설,https://bookthumb-phinf.pstatic.net/cover/067/707/06770742.jpg?type=m1&udate=20170801,https://data4library.kr/bookV?seq=1207905,2607
28,29,29,모우어 :천선란 소설 ,지은이: 천선란,문학동네,2024,9791141601447,03810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/35099/68/cover200/k442934507_1.jpg,https://data4library.kr/bookV?seq=6969030,2592
29,30,30,이처럼 사소한 것들 :클레어 키건 소설 ,지은이: 클레어 키건 ;옮긴이: 홍한별,다산북스,2023,9791130646381,03840,,843.6,문학 > 영미문학 > 소설,https://shopping-phinf.pstatic.net/main_4390280/43902803626.20231108182642.jpg,https://data4library.kr/bookV?seq=6791651,2515
30,31,31,"도둑맞은 집중력 :집중력 위기의 시대, 삶의 주도권을 되찾는 법 ",요한 하리 지음 ;김하현 옮김,어크로스(어크로스출판그룹),2023,9791167740984,03180,,181.27,철학 > 심리학 > 각론,https://image.aladin.co.kr/product/31559/97/cover/k682832859_1.jpg,https://data4library.kr/bookV?seq=6682845,2465
31,32,32,두 사람의 인터내셔널 :김기태 소설 ,지은이: 김기태,문학동네,2024,9788954697941,03810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/33899/7/cover200/8954697941_1.jpg,https://data4library.kr/bookV?seq=6873522,2455
32,33,33,이중 하나는 거짓말 :김애란 장편소설 ,지은이: 김애란,문학동네,2024,9791141601300,03810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/34474/76/cover200/k292932634_1.jpg,https://data4library.kr/bookV?seq=6933234,2446
33,34,34,달러구트 꿈 백화점 :주문하신 꿈은 매진입니다 ,지은이: 이미예,팩토리나인,2020,9791165341909,03810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/24512/70/cover/k392630952_1.jpg,https://data4library.kr/bookV?seq=5707051,2427
34,35,35,아주 희미한 빛으로도 :최은영 소설 ,지은이: 최은영,문학동네,2023,9788954695053,03810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/32129/40/cover/8954695051_1.jpg,https://data4library.kr/bookV?seq=6738257,2424
35,36,36,내가 한 말을 내가 오해하지 않기로 함 ,지은이: 문상훈,위너스북,2024,9791189352745,03810,,818,문학 > 한국문학 > 르포르타주 및 기타,https://image.aladin.co.kr/product/33037/31/cover/k882937586_1.jpg,https://data4library.kr/bookV?seq=6806344,2413
36,37,37,"파쇄 :일단 마음먹고 칼을 집었으면, 뜸 들이지 마 ",지은이: 구병모,위즈덤하우스,2023,9791168127012,04810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/31273/29/cover/k592832565_1.jpg,https://data4library.kr/bookV?seq=6652567,2380
37,38,38,완전한 행복 :정유정 장편소설 ,지은이: 정유정,은행나무,2021,9791167370280,03810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/27225/29/cover/k432732398_2.jpg,https://data4library.kr/bookV?seq=5987427,2335
38,39,39,아가미 :구병모 장편소설 ,지은이: 구병모,위즈덤하우스,2018,9791162203392,03810,,813.7,문학 > 한국문학 > 소설,http://image.aladin.co.kr/product/13925/89/cover/k732532525_1.jpg,https://data4library.kr/bookV?seq=3732414,2281
39,40,40,프로젝트 헤일메리 ,앤디 위어 지음 ;강동혁 옮김,RHK(알에이치코리아),2021,9788925588735,04840,,843.6,문학 > 영미문학 > 소설,https://image.aladin.co.kr/product/27045/43/cover/8925588730_1.jpg,https://data4library.kr/bookV?seq=5969086,2259
40,41,40,대도시의 사랑법 :박상영 연작소설 ,지은이: 박상영,창비,2019,9788936437978,03810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/19543/91/cover/8936437976_1.jpg,https://data4library.kr/bookV?seq=5435897,2259
41,42,42,흰 :한강 소설 ,지은이: 한강,문학동네,2018,9788954651134,03810,,813.62,문학 > 한국문학 > 소설,http://image.aladin.co.kr/product/14322/3/cover/8954651135_1.jpg,https://data4library.kr/bookV?seq=3746119,2255
42,43,43,구의 증명 ,최진영 지음,은행나무,2023,9791167372864,03810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/31561/46/cover/k782832854_1.jpg,https://data4library.kr/bookV?seq=6682008,2223
43,44,44,오렌지와 빵칼 =청예 장편소설 /Orange and bread knife ,지은이: 청예,허블,2024,9791193078259,03810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/34259/77/cover200/k852932962_1.jpg,https://data4library.kr/bookV?seq=6901042,2216
44,45,45,입속 지느러미 :조예은 장편소설 ,지은이: 조예은,한겨레엔,2024,9791172130633,04810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/34002/54/cover200/k462930652_1.jpg,https://data4library.kr/bookV?seq=6879532,2212
45,46,46,비눗방울 퐁 :이유리 소설집 ,지은이: 이유리,민음사,2024,9788937428234,03810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/35183/28/cover200/8937428237_1.jpg,https://data4library.kr/bookV?seq=6973602,2175
46,47,47,사랑과 결함 :예소연 소설 ,지은이: 예소연,문학동네,2024,9791141601102,03810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/34366/96/cover200/k972932005_1.jpg,https://data4library.kr/bookV?seq=6922272,2118
47,48,48,파견자들 :김초엽 장편소설 ,지은이: 김초엽,퍼블리온,2023,9791191587524,03810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/32591/29/cover/k352935549_1.jpg,https://data4library.kr/bookV?seq=6772199,2117
48,49,49,용의자 X의 헌신 ,히가시노 게이고 지음 ;양억관 옮김,재인,2017,9788990982704,03830,,833.6,문학 > 일본문학 > 소설,https://bookthumb-phinf.pstatic.net/cover/124/818/12481857.jpg?type=m1&udate=20170914,https://data4library.kr/bookV?seq=3541024,2115
49,50,50,아이가 없는 집 ,지은이: 알렉스 안도릴 ;옮긴이: 유혜인,필름,2024,9791193262184,03850,,859.7,문학 > 독일문학 > 기타 게르만 문학,https://image.aladin.co.kr/product/34117/59/cover200/k962931994_1.jpg,https://data4library.kr/bookV?seq=6890223,2110
50,51,51,오로라 ,지은이: 최진영,위즈덤하우스,2024,9791168127500,04810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/33464/10/cover/k652938849_1.jpg,https://data4library.kr/bookV?seq=6834576,2102
51,52,52,스노볼 드라이브 :조예은 장편소설 ,지은이: 조예은,민음사,2021,9788937473319,04810,,813.7,문학 > 한국문학 > 소설,https://bookthumb-phinf.pstatic.net/cover/180/045/18004516.jpg?type=m1&udate=20210218,https://data4library.kr/bookV?seq=5882740,2080
52,53,52,돈은 좋지만 재테크는 겁나는 너에게 ,뿅글이 지음,첨단,2023,9788960306134,03320,,327.04,사회과학 > 경제학 > 금융,https://image.aladin.co.kr/product/30921/24/cover/8960306134_2.jpg,https://data4library.kr/bookV?seq=6627400,2080
53,54,54,왜 나는 너를 사랑하는가,알랭 드 보통 [지음];정영목 옮김,청미래,2007,9788986836240,03840,,843,문학 > 영미문학 > 소설,https://bookthumb-phinf.pstatic.net/cover/030/257/03025716.jpg?type=m1&udate=20180227,https://data4library.kr/bookV?seq=2130072,2055
54,55,55,테디베어는 죽지 않아 :조예은 장편소설 ,지은이: 조예은,안전가옥,2023,9791193024225,03810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/31862/4/cover/k292833420_1.jpg,https://data4library.kr/bookV?seq=6707466,2045
55,56,56,랑과 나의 사막 :천선란 소설 ,지은이: 천선란,H(현대문학),2022,9791167901354,04810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/30395/18/cover/k572830160_1.jpg,https://data4library.kr/bookV?seq=6580839,2030
56,57,57,(EBS 다큐프라임) 자본주의 ,EBS MEDIA 기획 ;EBS <자본주의> 제작팀 지음,가나문화콘텐츠,2013,9788957365793,03320,,322.01,사회과학 > 경제학 > 경제정책,https://bookthumb-phinf.pstatic.net/cover/073/148/07314866.jpg?type=m1&udate=20170801,https://data4library.kr/bookV?seq=1975179,2028
57,58,58,대온실 수리 보고서 :김금희 장편소설 ,지은이: 김금희,창비,2024,9788936439651,03810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/34712/24/cover200/8936439650_2.jpg,https://data4library.kr/bookV?seq=6950753,2010
58,59,59,어떤 물질의 사랑 :천선란 소설집 ,지은이: 천선란,아작,2020,9791165508340,03810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/24605/89/cover/k532631174_1.jpg,https://data4library.kr/bookV?seq=5708343,2000
59,60,60,혼모노 :성해나 소설집 ,지은이: 성해나,창비,2025,9788936439743,03810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/36101/66/cover200/893643974x_1.jpg,https://data4library.kr/bookV?seq=7035395,1999
60,61,61,자기 앞의 生 :에밀 아자르 장편소설 ,지은이: 에밀 아자르 ;옮긴이: 용경식,문학동네,2015,9788982816635,03860,,863,문학 > 프랑스문학 > 소설,http://image.aladin.co.kr/product/9751/78/cover/k472535448_1.jpg,https://data4library.kr/bookV?seq=279356,1993
61,62,62,적산가옥의 유령 :조예은 소설 ,지은이: 조예은,H(현대문학),2024,9791167902580,04810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/34286/38/cover200/k592932077_1.jpg,https://data4library.kr/bookV?seq=6905353,1969
62,63,63,브람스를 좋아하세요 ,프랑수아즈 사강 [지음] ;김남주 옮김,민음사,2008,9788937461798,04800,179,863,문학 > 프랑스문학 > 소설,https://bookthumb-phinf.pstatic.net/cover/045/694/04569434.jpg?type=m1&udate=20130412,https://data4library.kr/bookV?seq=2374505,1965
63,64,64,돈의 속성 :최상위 부자가 말하는 돈에 대한 모든 것 ,지은이: 김승호,Snowfox(스노우폭스북스),2020,9791188331796,03320,,327.04,사회과학 > 경제학 > 금융,https://image.aladin.co.kr/product/24191/64/cover/k562639753_1.jpg,https://data4library.kr/bookV?seq=5678862,1963
64,65,65,쇼코의 미소 :최은영 소설 ,지은이: 최은영,문학동네,2016,9788954641630,03810,,813.7,문학 > 한국문학 > 소설,https://bookthumb-phinf.pstatic.net/cover/107/859/10785953.jpg?type=m1&udate=20180717,https://data4library.kr/bookV?seq=3190615,1938
65,66,66,세이노의 가르침 :피보다 진하게 살아라 ,세이노 지음,데이원,2023,9791168473690,03190,,325.211,사회과학 > 경제학 > 경영관리,https://image.aladin.co.kr/product/30929/51/cover/k732831392_1.jpg,https://data4library.kr/bookV?seq=6628064,1917
66,67,67,미드나잇 라이브러리 ,매트 헤이그 지음 ;노진선 옮김,인플루엔셜,2021,9791191056556,03840,,843.6,문학 > 영미문학 > 소설,https://image.aladin.co.kr/product/26987/37/cover/k962730610_1.jpg,https://data4library.kr/bookV?seq=5965665,1905
